LINEAR REGION ITERATION ANALYSIS REPORT
====================================

Fractal Type: Minkowski
Iteration Levels: 2 to 8

Theoretical Dimension: 1.500000

OPTIMAL WINDOW RESULTS
---------------------
Level    Window   Dimension    Error        R-squared    Diff from Theo. 
2        14           1.121021     0.031517     0.990604         0.378979
3        10           1.312186     0.033756     0.994734         0.187814
4        4            1.467919     0.003247     0.999990         0.032081
5        4            1.483231     0.005796     0.999969         0.016769
6        4            1.519067     0.008816     0.999933         0.019067
7        7            1.484421     0.010221     0.999763         0.015579
8        7            1.486001     0.009903     0.999778         0.013999

DETAILED WINDOW ANALYSIS
------------------------

Level 2:
Window   Dimension    Error        R-squared   
3            0.996482     0.002031     0.999996
4            1.005112     0.001798     0.999994
5            1.001580     0.002288     0.999984
6            0.991950     0.005758     0.999865
7            0.995837     0.004649     0.999891
8            0.997217     0.003556     0.999924
9            0.998047     0.002795     0.999945
10           1.012176     0.008457     0.999442
11           1.024204     0.009793     0.999178
12           1.057501     0.020880     0.996117
13           1.075730     0.020547     0.996003
14           1.121021     0.031517     0.990604 *

Level 3:
Window   Dimension    Error        R-squared   
3            0.994722     0.006516     0.999957
4            1.057895     0.016896     0.999490
5            1.047169     0.011555     0.999635
6            1.038224     0.009159     0.999689
7            1.144654     0.030472     0.996469
8            1.126074     0.025118     0.997024
9            1.109399     0.021708     0.997327
10           1.312186     0.033756     0.994734 *
11           1.177240     0.028691     0.994683
12           1.258826     0.030474     0.994174
13           1.234236     0.029409     0.993794
14           1.276329     0.034998     0.991058

Level 4:
Window   Dimension    Error        R-squared   
3            1.462606     0.002380     0.999997
4            1.467919     0.003247     0.999990 *
5            1.375469     0.012760     0.999742
6            1.339508     0.014177     0.999552
7            1.352236     0.012429     0.999578
8            1.362413     0.010970     0.999611
9            1.351305     0.010646     0.999566
10           1.363717     0.011112     0.999469
11           1.341547     0.015689     0.998771
12           1.400902     0.016604     0.998597
13           1.388494     0.015756     0.998586
14           1.371888     0.016552     0.998256

Level 5:
Window   Dimension    Error        R-squared   
3            1.473310     0.001983     0.999998
4            1.483231     0.005796     0.999969 *
5            1.434625     0.012692     0.999765
6            1.448591     0.011578     0.999745
7            1.432526     0.012372     0.999627
8            1.413440     0.014645     0.999356
9            1.409802     0.011537     0.999531
10           1.415759     0.009825     0.999615
11           1.422006     0.008795     0.999656
12           1.452127     0.013252     0.999168
13           1.445417     0.011851     0.999261
14           1.431138     0.013075     0.998999

Level 6:
Window   Dimension    Error        R-squared   
3            1.533429     0.006698     0.999981
4            1.519067     0.008816     0.999933 *
5            1.459139     0.016693     0.999608
6            1.452860     0.011513     0.999749
7            1.468054     0.011968     0.999668
8            1.444420     0.016303     0.999236
9            1.438551     0.013075     0.999422
10           1.441371     0.010556     0.999571
11           1.444742     0.008836     0.999663
12           1.466399     0.012521     0.999271
13           1.463423     0.010721     0.999410
14           1.447249     0.013095     0.999018

Level 7:
Window   Dimension    Error        R-squared   
3            1.533429     0.006698     0.999981
4            1.519067     0.008816     0.999933
5            1.469599     0.016468     0.999623
6            1.472855     0.010944     0.999779
7            1.484421     0.010221     0.999763 *
8            1.438240     0.016604     0.999201
9            1.444066     0.013294     0.999407
10           1.449200     0.011011     0.999538
11           1.452849     0.009234     0.999637
12           1.469614     0.012358     0.999293
13           1.469513     0.010445     0.999445
14           1.452597     0.013244     0.999004

Level 8:
Window   Dimension    Error        R-squared   
3            1.533429     0.006698     0.999981
4            1.519067     0.008816     0.999933
5            1.472164     0.015520     0.999667
6            1.474293     0.010234     0.999807
7            1.486001     0.009903     0.999778 *
8            1.440111     0.016726     0.999191
9            1.445592     0.013337     0.999405
10           1.450478     0.011007     0.999540
11           1.453944     0.009207     0.999639
12           1.470590     0.012290     0.999302
13           1.470385     0.010388     0.999451
14           1.453378     0.013249     0.999004
