LINEAR REGION ITERATION ANALYSIS REPORT
====================================

Fractal Type: Dragon
Iteration Levels: 2 to 10

Theoretical Dimension: 1.523600

OPTIMAL WINDOW RESULTS
---------------------
Level    Window   Dimension    Error        R-squared    Diff from Theo. 
2        12           1.004564     0.004610     0.999789         0.519036
3        14           1.026762     0.009144     0.999049         0.496838
4        13           1.072383     0.018568     0.996713         0.451217
5        14           1.130292     0.024920     0.994201         0.393308
6        13           1.190185     0.029613     0.993236         0.333415
7        14           1.273323     0.039591     0.988532         0.250277
8        9            1.517782     0.028016     0.997621         0.005818
9        10           1.534651     0.026916     0.997545         0.011051
10       13           1.512136     0.030197     0.995632         0.011464

DETAILED WINDOW ANALYSIS
------------------------

Level 2:
Window   Dimension    Error        R-squared   
3            1.001356     0.002347     0.999995
4            0.989692     0.001956     0.999992
5            0.996824     0.001452     0.999994
6            0.994436     0.001674     0.999989
7            0.997099     0.001941     0.999981
8            0.993375     0.002591     0.999959
9            0.991080     0.002405     0.999959
10           0.992866     0.002178     0.999961
11           0.998936     0.003930     0.999861
12           1.004564     0.004610     0.999789 *
13           0.992991     0.007735     0.999333
14           0.985916     0.007782     0.999253

Level 3:
Window   Dimension    Error        R-squared   
3            1.000000     0.000000     1.000000
4            1.007504     0.000952     0.999998
5            1.002571     0.001074     0.999997
6            1.004187     0.001168     0.999995
7            1.000307     0.002387     0.999972
8            1.007847     0.003430     0.999931
9            1.006654     0.002745     0.999948
10           1.005852     0.002238     0.999960
11           1.005177     0.001868     0.999969
12           1.004588     0.001591     0.999975
13           1.012648     0.004844     0.999748
14           1.026762     0.009144     0.999049 *

Level 4:
Window   Dimension    Error        R-squared   
3            1.014056     0.000601     1.000000
4            1.005818     0.002214     0.999990
5            1.008016     0.001801     0.999990
6            1.005407     0.001912     0.999986
7            1.007835     0.001947     0.999981
8            1.013824     0.003750     0.999918
9            1.012308     0.003034     0.999937
10           1.015757     0.003134     0.999924
11           1.011706     0.003467     0.999894
12           1.040621     0.016941     0.997357
13           1.072383     0.018568     0.996713 *
14           1.064837     0.016487     0.997132

Level 5:
Window   Dimension    Error        R-squared   
3            1.007512     0.000488     1.000000
4            1.005950     0.000928     0.999998
5            1.012176     0.001445     0.999994
6            1.010303     0.001437     0.999992
7            1.012636     0.001687     0.999986
8            1.018428     0.003573     0.999926
9            1.023516     0.004036     0.999891
10           1.028229     0.004215     0.999866
11           1.045725     0.010672     0.999064
12           1.075228     0.019209     0.996819
13           1.107461     0.024696     0.994560
14           1.130292     0.024920     0.994201 *

Level 6:
Window   Dimension    Error        R-squared   
3            1.002384     0.000506     1.000000
4            1.005491     0.001808     0.999994
5            1.009982     0.002795     0.999977
6            1.016919     0.004404     0.999925
7            1.041822     0.007195     0.999762
8            1.034996     0.006655     0.999752
9            1.050467     0.010313     0.999326
10           1.063428     0.011121     0.999126
11           1.081311     0.013749     0.998547
12           1.108073     0.019225     0.996999
13           1.190185     0.029613     0.993236 *
14           1.170985     0.027676     0.993341

Level 7:
Window   Dimension    Error        R-squared   
3            1.008459     0.000650     1.000000
4            1.014065     0.003250     0.999979
5            1.063066     0.006788     0.999878
6            1.034156     0.006692     0.999833
7            1.043816     0.007314     0.999755
8            1.062072     0.011867     0.999252
9            1.080082     0.013878     0.998846
10           1.113309     0.022149     0.996844
11           1.146064     0.026167     0.995330
12           1.191761     0.034206     0.991829
13           1.233492     0.037633     0.989865
14           1.273323     0.039591     0.988532 *

Level 8:
Window   Dimension    Error        R-squared   
3            1.023762     0.001244     0.999999
4            1.029890     0.003581     0.999976
5            1.057497     0.007246     0.999859
6            1.049782     0.006507     0.999846
7            1.069819     0.012450     0.999323
8            1.093013     0.016292     0.998669
9            1.517782     0.028016     0.997621 *
10           1.478668     0.031772     0.996320
11           1.439500     0.034414     0.994882
12           1.401727     0.035994     0.993450
13           1.366365     0.036636     0.992154
14           1.334411     0.036396     0.991152

Level 9:
Window   Dimension    Error        R-squared   
3            1.040009     0.003121     0.999991
4            1.590712     0.009482     0.999929
5            1.069564     0.010883     0.999690
6            1.091058     0.014310     0.999312
7            1.620863     0.029865     0.998305
8            1.591900     0.027841     0.998168
9            1.559503     0.028547     0.997660
10           1.534651     0.026916     0.997545 *
11           1.502577     0.028738     0.996719
12           1.467765     0.031237     0.995491
13           1.432801     0.033233     0.994117
14           1.399446     0.034362     0.992817

Level 10:
Window   Dimension    Error        R-squared   
3            1.100481     0.004359     0.999984
4            1.085178     0.009048     0.999861
5            1.108180     0.014271     0.999503
6            1.647757     0.022841     0.999232
7            1.659987     0.017627     0.999437
8            1.650225     0.014296     0.999550
9            1.626433     0.017644     0.999177
10           1.608403     0.017507     0.999053
11           1.581361     0.021167     0.998390
12           1.547556     0.026290     0.997122
13           1.512136     0.030197     0.995632 *
14           1.476725     0.032965     0.994056
