LINEAR REGION ITERATION ANALYSIS REPORT
====================================

Fractal Type: Hilbert
Iteration Levels: 2 to 10

Theoretical Dimension: 2.000000

OPTIMAL WINDOW RESULTS
---------------------
Level    Window   Dimension    Error        R-squared    Diff from Theo. 
2        12           1.019714     0.010496     0.998942         0.980286
3        13           1.081710     0.028344     0.992504         0.918290
4        13           1.232502     0.050119     0.982136         0.767498
5        11           1.526280     0.070214     0.981309         0.473720
6        7            1.942117     0.020386     0.999449         0.057883
7        8            1.959013     0.013207     0.999727         0.040987
8        4            1.983064     0.005988     0.999982         0.016936
9        3            2.000000     0.000000     1.000000         0.000000
10       3            2.000000     0.000000     1.000000         0.000000

DETAILED WINDOW ANALYSIS
------------------------

Level 2:
Window   Dimension    Error        R-squared   
3            1.010932     0.001359     0.999998
4            0.999142     0.002270     0.999990
5            1.003959     0.002122     0.999987
6            1.002650     0.001581     0.999990
7            1.004492     0.001543     0.999988
8            0.998424     0.003389     0.999931
9            0.999213     0.002664     0.999950
10           0.993362     0.003991     0.999871
11           1.005140     0.007541     0.999494
12           1.019714     0.010496     0.998942 *
13           1.008877     0.010855     0.998728

Level 3:
Window   Dimension    Error        R-squared   
3            1.021961     0.001756     0.999997
4            1.011897     0.003987     0.999969
5            1.002493     0.005868     0.999897
6            1.003077     0.003856     0.999941
7            1.004965     0.002937     0.999957
8            1.001309     0.003041     0.999945
9            0.998719     0.002790     0.999945
10           0.984914     0.008275     0.999436
11           1.013701     0.017941     0.997189
12           1.055155     0.028207     0.992904
13           1.081710     0.028344     0.992504 *

Level 4:
Window   Dimension    Error        R-squared   
3            0.995452     0.000699     1.000000
4            0.996137     0.000504     0.999999
5            1.000918     0.002775     0.999977
6            1.003777     0.002455     0.999976
7            1.008307     0.002346     0.999973
8            1.006551     0.002022     0.999976
9            1.022631     0.009415     0.999407
10           1.015564     0.008547     0.999434
11           1.049558     0.020830     0.996468
12           1.114550     0.041333     0.986434
13           1.232502     0.050119     0.982136 *
14           1.205759     0.045612     0.983118

Level 5:
Window   Dimension    Error        R-squared   
3            1.002093     0.000458     1.000000
4            1.000996     0.000665     0.999999
5            1.003481     0.001485     0.999993
6            1.005118     0.001356     0.999993
7            0.993983     0.003771     0.999928
8            0.996518     0.003169     0.999939
9            1.041594     0.026140     0.995611
10           1.116818     0.048177     0.985331
11           1.526280     0.070214     0.981309 *
12           1.465583     0.068126     0.978850
13           1.413489     0.064959     0.977295
14           1.369345     0.061188     0.976600

Level 6:
Window   Dimension    Error        R-squared   
3            1.000284     0.000145     1.000000
4            1.930257     0.017940     0.999827
5            1.918516     0.012379     0.999875
6            1.009189     0.011451     0.999485
7            1.942117     0.020386     0.999449 *
8            1.905842     0.025875     0.998895
9            1.851179     0.037386     0.997153
10           1.792991     0.044923     0.995003
11           1.724876     0.053777     0.991328
12           1.661210     0.057907     0.987995
13           1.600950     0.060047     0.984761
14           1.545903     0.060450     0.981982

Level 7:
Window   Dimension    Error        R-squared   
3            0.994874     0.001190     0.999999
4            1.000318     0.003188     0.999980
5            1.918516     0.012379     0.999875
6            1.950052     0.009228     0.999910
7            1.939310     0.009003     0.999892
8            1.959013     0.013207     0.999727 *
9            1.948253     0.011969     0.999736
10           1.910909     0.023580     0.998783
11           1.874042     0.028701     0.997894
12           1.827971     0.035746     0.996190
13           1.772593     0.043988     0.993272
14           1.715622     0.050009     0.989907

Level 8:
Window   Dimension    Error        R-squared   
3            0.994673     0.004687     0.999978
4            1.983064     0.005988     0.999982 *
5            1.978281     0.004425     0.999985
6            1.975928     0.003199     0.999990
7            1.957511     0.007818     0.999920
8            1.960402     0.006062     0.999943
9            1.951814     0.006829     0.999914
10           1.962586     0.008268     0.999858
11           1.954694     0.008145     0.999844
12           1.918813     0.021796     0.998711
13           1.891881     0.024106     0.998217
14           1.850505     0.031572     0.996519

Level 9:
Window   Dimension    Error        R-squared   
3            2.000000     0.000000     1.000000 *
4            1.998109     0.001092     0.999999
5            1.987298     0.004234     0.999986
6            1.989422     0.003031     0.999991
7            1.985194     0.003248     0.999987
8            1.964159     0.006978     0.999924
9            1.969231     0.006147     0.999932
10           1.960667     0.006964     0.999899
11           1.968214     0.007163     0.999881
12           1.960702     0.007371     0.999859
13           1.953236     0.007576     0.999835
14           1.925724     0.017158     0.999048

Level 10:
Window   Dimension    Error        R-squared   
3            2.000000     0.000000     1.000000 *
4            1.998109     0.001092     0.999999
5            1.995583     0.001589     0.999998
6            1.990706     0.003001     0.999991
7            1.989960     0.002166     0.999994
8            1.986553     0.002545     0.999990
9            1.976595     0.006078     0.999934
10           1.972802     0.005320     0.999942
11           1.965071     0.006228     0.999910
12           1.970779     0.006142     0.999903
13           1.963973     0.006510     0.999879
14           1.935030     0.017616     0.999006
