LINEAR REGION ITERATION ANALYSIS REPORT
====================================

Fractal Type: Koch
Iteration Levels: 2 to 8

Theoretical Dimension: 1.261860

OPTIMAL WINDOW RESULTS
---------------------
Level    Window   Dimension    Error        R-squared    Diff from Theo. 
2        16           1.047283     0.016222     0.996652         0.214577
3        3            1.259851     0.000000     1.000000         0.002009
4        10           1.181764     0.018389     0.998067         0.080096
5        15           1.227056     0.015381     0.997962         0.034803
6        4            1.255642     0.025598     0.999169         0.006218
7        7            1.263655     0.011033     0.999619         0.001795
8        6            1.259436     0.013539     0.999538         0.002424

DETAILED WINDOW ANALYSIS
------------------------

Level 2:
Window   Dimension    Error        R-squared   
3            1.013445     0.001070     0.999999
4            0.999228     0.002958     0.999982
5            1.003973     0.002756     0.999977
6            1.002643     0.001961     0.999985
7            1.007424     0.003089     0.999953
8            1.002018     0.003879     0.999910
9            0.997912     0.003827     0.999897
10           1.003209     0.004321     0.999852
11           1.005952     0.003867     0.999867
12           1.004387     0.003342     0.999889
13           1.001469     0.003289     0.999881
14           1.007018     0.004265     0.999785
15           1.035449     0.016825     0.996579
16           1.047283     0.016222     0.996652 *

Level 3:
Window   Dimension    Error        R-squared   
3            1.259851     0.000000     1.000000 *
4            1.013263     0.003036     0.999982
5            1.010399     0.002409     0.999983
6            1.008027     0.002089     0.999983
7            1.023987     0.007266     0.999748
8            1.021754     0.005567     0.999822
9            1.019006     0.004595     0.999858
10           1.030025     0.007342     0.999594
11           1.049867     0.008766     0.999373
12           1.044469     0.007932     0.999424
13           1.052650     0.008200     0.999333
14           1.063712     0.009492     0.999045
15           1.094310     0.019485     0.995895
16           1.106296     0.018390     0.996146

Level 4:
Window   Dimension    Error        R-squared   
3            1.007800     0.001159     0.999999
4            1.027346     0.011297     0.999758
5            1.019753     0.007859     0.999822
6            1.015297     0.005752     0.999872
7            1.071132     0.018106     0.998573
8            1.062997     0.014290     0.998917
9            1.055387     0.011909     0.999110
10           1.181764     0.018389     0.998067 *
11           1.166546     0.017397     0.998002
12           1.154141     0.016150     0.998046
13           1.141885     0.015374     0.998010
14           1.130293     0.014769     0.997955
15           1.180400     0.019559     0.996444
16           1.167142     0.018738     0.996404

Level 5:
Window   Dimension    Error        R-squared   
3            1.027131     0.001250     0.999999
4            1.131393     0.026257     0.998924
5            1.119201     0.016714     0.999331
6            1.102874     0.014442     0.999315
7            1.165349     0.016079     0.999049
8            1.155076     0.013372     0.999197
9            1.141896     0.012852     0.999114
10           1.219549     0.019133     0.998035
11           1.211586     0.016285     0.998377
12           1.208018     0.013705     0.998714
13           1.199827     0.012511     0.998805
14           1.189806     0.012177     0.998745
15           1.227056     0.015381     0.997962 *
16           1.216295     0.014816     0.997927

Level 6:
Window   Dimension    Error        R-squared   
3            1.147314     0.005704     0.999975
4            1.255642     0.025598     0.999169 *
5            1.232118     0.020072     0.999204
6            1.217297     0.015681     0.999337
7            1.235260     0.015182     0.999245
8            1.220893     0.014031     0.999208
9            1.210074     0.012535     0.999249
10           1.228344     0.014535     0.998881
11           1.241015     0.013941     0.998866
12           1.228791     0.013578     0.998780
13           1.226737     0.011552     0.999026
14           1.224598     0.009969     0.999205
15           1.248082     0.013588     0.998461
16           1.244074     0.012106     0.998676

Level 7:
Window   Dimension    Error        R-squared   
3            1.241564     0.025295     0.999585
4            1.275026     0.020878     0.999464
5            1.272161     0.012167     0.999726
6            1.253686     0.013312     0.999549
7            1.263655     0.011033     0.999619 *
8            1.243229     0.014377     0.999198
9            1.228984     0.013844     0.999113
10           1.244478     0.014212     0.998958
11           1.254902     0.013072     0.999024
12           1.240847     0.013570     0.998805
13           1.230947     0.011713     0.999005
14           1.233903     0.010175     0.999185
15           1.251584     0.013485     0.998493
16           1.251456     0.011792     0.998758

Level 8:
Window   Dimension    Error        R-squared   
3            1.308216     0.027924     0.999545
4            1.279563     0.020833     0.999470
5            1.278500     0.012044     0.999734
6            1.259436     0.013539     0.999538 *
7            1.268578     0.010932     0.999629
8            1.247397     0.014695     0.999168
9            1.232522     0.014259     0.999064
10           1.247503     0.014290     0.998951
11           1.257509     0.013019     0.999036
12           1.243113     0.013654     0.998795
13           1.232142     0.011773     0.998997
14           1.235655     0.010283     0.999170
15           1.253140     0.013462     0.998502
16           1.252847     0.011773     0.998765
