LINEAR REGION ITERATION ANALYSIS REPORT
====================================

Fractal Type: Koch
Iteration Levels: 2 to 8

Theoretical Dimension: 1.261860

OPTIMAL WINDOW RESULTS
---------------------
Level    Window   Dimension    Error        R-squared    Diff from Theo. 
2        14           1.040191     0.019169     0.995941         0.221669
3        3            1.259851     0.000000     1.000000         0.002009
4        9            1.192002     0.021829     0.997658         0.069857
5        14           1.224127     0.017653     0.997511         0.037733
6        4            1.255642     0.025598     0.999169         0.006218
7        6            1.263197     0.015599     0.999390         0.001337
8        6            1.266967     0.015405     0.999409         0.005107

DETAILED WINDOW ANALYSIS
------------------------

Level 2:
Window   Dimension    Error        R-squared   
3            1.013445     0.001070     0.999999
4            1.006643     0.003956     0.999969
5            1.003973     0.002756     0.999977
6            1.009905     0.003871     0.999941
7            1.002245     0.005201     0.999865
8            0.997056     0.004899     0.999855
9            1.003720     0.005404     0.999797
10           1.006910     0.004688     0.999827
11           1.004886     0.004002     0.999857
12           1.001399     0.003891     0.999849
13           1.007812     0.004952     0.999734
14           1.040191     0.019169     0.995941 *

Level 3:
Window   Dimension    Error        R-squared   
3            1.259851     0.000000     1.000000 *
4            1.013263     0.003036     0.999982
5            1.010399     0.002409     0.999983
6            1.027057     0.009746     0.999640
7            1.023987     0.007266     0.999748
8            1.021754     0.005567     0.999822
9            1.034611     0.008584     0.999518
10           1.055643     0.009929     0.999293
11           1.049867     0.008766     0.999373
12           1.058512     0.008838     0.999303
13           1.070374     0.010134     0.999015
14           1.104392     0.021472     0.995485

Level 4:
Window   Dimension    Error        R-squared   
3            0.986791     0.009792     0.999902
4            1.022806     0.013265     0.999664
5            1.015347     0.008787     0.999775
6            1.078391     0.024911     0.997870
7            1.071132     0.018106     0.998573
8            1.062997     0.014290     0.998917
9            1.192002     0.021829     0.997658 *
10           1.181764     0.018389     0.998067
11           1.166546     0.017397     0.998002
12           1.154141     0.016150     0.998046
13           1.141885     0.015374     0.998010
14           1.172238     0.021919     0.995822

Level 5:
Window   Dimension    Error        R-squared   
3            1.085926     0.001336     0.999998
4            1.131393     0.026257     0.998924
5            1.119201     0.016714     0.999331
6            1.161928     0.022567     0.998493
7            1.165349     0.016079     0.999049
8            1.155076     0.013372     0.999197
9            1.185871     0.020577     0.997897
10           1.219549     0.019133     0.998035
11           1.211586     0.016285     0.998377
12           1.208018     0.013705     0.998714
13           1.199827     0.012511     0.998805
14           1.224127     0.017653     0.997511 *

Level 6:
Window   Dimension    Error        R-squared   
3            1.179857     0.023760     0.999595
4            1.255642     0.025598     0.999169 *
5            1.232118     0.020072     0.999204
6            1.251129     0.017121     0.999252
7            1.228123     0.017972     0.998930
8            1.212792     0.016056     0.998950
9            1.234518     0.017664     0.998569
10           1.248488     0.016236     0.998649
11           1.232683     0.016094     0.998468
12           1.228329     0.013625     0.998771
13           1.226737     0.011552     0.999026
14           1.247830     0.015689     0.998107

Level 7:
Window   Dimension    Error        R-squared   
3            1.308216     0.027924     0.999545
4            1.275026     0.020878     0.999464
5            1.248015     0.019710     0.999252
6            1.263197     0.015599     0.999390 *
7            1.237065     0.018689     0.998860
8            1.220800     0.016800     0.998865
9            1.241556     0.017690     0.998581
10           1.254649     0.016009     0.998699
11           1.238085     0.016196     0.998462
12           1.233086     0.013782     0.998752
13           1.230947     0.011713     0.999005
14           1.251576     0.015571     0.998146

Level 8:
Window   Dimension    Error        R-squared   
3            1.308216     0.027924     0.999545
4            1.279563     0.020833     0.999470
5            1.252448     0.019742     0.999255
6            1.266967     0.015405     0.999409 *
7            1.240194     0.018909     0.998839
8            1.223401     0.017107     0.998828
9            1.243738     0.017704     0.998584
10           1.256498     0.015929     0.998716
11           1.239668     0.016235     0.998459
12           1.234456     0.013840     0.998745
13           1.232142     0.011773     0.998997
14           1.252627     0.015541     0.998156
