LINEAR REGION ITERATION ANALYSIS REPORT
====================================

Fractal Type: Koch
Iteration Levels: 1 to 5

Theoretical Dimension: 1.261860

OPTIMAL WINDOW RESULTS
---------------------
Level    Window   Dimension    Error        R-squared    Diff from Theo. 
1        15           1.010179     0.007144     0.999350         0.251681
2        16           1.047283     0.016222     0.996652         0.214577
3        3            1.259851     0.000000     1.000000         0.002009
4        10           1.181764     0.018389     0.998067         0.080096
5        15           1.227056     0.015381     0.997962         0.034803

DETAILED WINDOW ANALYSIS
------------------------

Level 1:
Window   Dimension    Error        R-squared   
3            1.000000     0.000000     1.000000
4            1.002406     0.000649     0.999999
5            1.003061     0.000533     0.999999
6            1.000242     0.000734     0.999998
7            1.001085     0.000712     0.999997
8            0.997977     0.001871     0.999979
9            0.998678     0.001505     0.999984
10           0.999108     0.001226     0.999988
11           0.999382     0.001014     0.999991
12           0.992179     0.003305     0.999889
13           0.993080     0.002841     0.999910
14           0.996094     0.002991     0.999892
15           1.010179     0.007144     0.999350 *
16           1.008814     0.006297     0.999455

Level 2:
Window   Dimension    Error        R-squared   
3            1.013445     0.001070     0.999999
4            0.999228     0.002958     0.999982
5            1.003973     0.002756     0.999977
6            1.002643     0.001961     0.999985
7            1.007424     0.003089     0.999953
8            1.002018     0.003879     0.999910
9            0.997912     0.003827     0.999897
10           1.003209     0.004321     0.999852
11           1.005952     0.003867     0.999867
12           1.004387     0.003342     0.999889
13           1.001469     0.003289     0.999881
14           1.007018     0.004265     0.999785
15           1.035449     0.016825     0.996579
16           1.047283     0.016222     0.996652 *

Level 3:
Window   Dimension    Error        R-squared   
3            1.259851     0.000000     1.000000 *
4            1.013263     0.003036     0.999982
5            1.010399     0.002409     0.999983
6            1.008027     0.002089     0.999983
7            1.023987     0.007266     0.999748
8            1.021754     0.005567     0.999822
9            1.019006     0.004595     0.999858
10           1.030025     0.007342     0.999594
11           1.049867     0.008766     0.999373
12           1.044469     0.007932     0.999424
13           1.052650     0.008200     0.999333
14           1.063712     0.009492     0.999045
15           1.094310     0.019485     0.995895
16           1.106296     0.018390     0.996146

Level 4:
Window   Dimension    Error        R-squared   
3            1.007800     0.001159     0.999999
4            1.027346     0.011297     0.999758
5            1.019753     0.007859     0.999822
6            1.015297     0.005752     0.999872
7            1.071132     0.018106     0.998573
8            1.062997     0.014290     0.998917
9            1.055387     0.011909     0.999110
10           1.181764     0.018389     0.998067 *
11           1.166546     0.017397     0.998002
12           1.154141     0.016150     0.998046
13           1.141885     0.015374     0.998010
14           1.130293     0.014769     0.997955
15           1.180400     0.019559     0.996444
16           1.167142     0.018738     0.996404

Level 5:
Window   Dimension    Error        R-squared   
3            1.027131     0.001250     0.999999
4            1.131393     0.026257     0.998924
5            1.119201     0.016714     0.999331
6            1.102874     0.014442     0.999315
7            1.165349     0.016079     0.999049
8            1.155076     0.013372     0.999197
9            1.141896     0.012852     0.999114
10           1.219549     0.019133     0.998035
11           1.211586     0.016285     0.998377
12           1.208018     0.013705     0.998714
13           1.199827     0.012511     0.998805
14           1.189806     0.012177     0.998745
15           1.227056     0.015381     0.997962 *
16           1.216295     0.014816     0.997927
