LINEAR REGION ITERATION ANALYSIS REPORT
====================================

Fractal Type: Sierpinski
Iteration Levels: 2 to 8

Theoretical Dimension: 1.584963

OPTIMAL WINDOW RESULTS
---------------------
Level    Window   Dimension    Error        R-squared    Diff from Theo. 
2        14           1.194668     0.034341     0.990182         0.390295
3        3            1.621392     0.000909     1.000000         0.036429
4        6            1.590745     0.008650     0.999882         0.005782
5        11           1.575248     0.016515     0.999012         0.009714
6        12           1.593698     0.008815     0.999694         0.008735
7        14           1.589486     0.008493     0.999658         0.004523
8        4            1.589390     0.005713     0.999974         0.004427

DETAILED WINDOW ANALYSIS
------------------------

Level 2:
Window   Dimension    Error        R-squared   
3            1.007603     0.000884     0.999999
4            1.009260     0.001035     0.999998
5            1.019982     0.002778     0.999978
6            1.016998     0.002505     0.999976
7            1.020746     0.002797     0.999962
8            1.027773     0.004561     0.999882
9            1.040567     0.008188     0.999567
10           1.056048     0.011071     0.999122
11           1.081491     0.017248     0.997716
12           1.116995     0.025023     0.995007
13           1.160841     0.032986     0.991197
14           1.194668     0.034341     0.990182 *

Level 3:
Window   Dimension    Error        R-squared   
3            1.621392     0.000909     1.000000 *
4            1.020740     0.003126     0.999981
5            1.043061     0.005389     0.999920
6            1.036573     0.005145     0.999901
7            1.046052     0.006571     0.999803
8            1.064474     0.011710     0.999274
9            1.093527     0.019069     0.997876
10           1.130889     0.026395     0.995661
11           1.173493     0.032703     0.993059
12           1.215359     0.036396     0.991112
13           1.321859     0.040306     0.989876
14           1.291184     0.038794     0.989283

Level 4:
Window   Dimension    Error        R-squared   
3            1.621392     0.000909     1.000000
4            1.043156     0.006712     0.999917
5            1.600873     0.009736     0.999889
6            1.590745     0.008650     0.999882 *
7            1.615481     0.015536     0.999538
8            1.606179     0.012764     0.999621
9            1.578561     0.018762     0.999012
10           1.540744     0.026471     0.997644
11           1.501441     0.031338     0.996095
12           1.462144     0.034563     0.994443
13           1.424286     0.036484     0.992834
14           1.389194     0.037237     0.991452

Level 5:
Window   Dimension    Error        R-squared   
3            1.621392     0.000909     1.000000
4            1.624179     0.009841     0.999927
5            1.600873     0.009736     0.999889
6            1.605948     0.007100     0.999922
7            1.606762     0.005042     0.999951
8            1.622876     0.010034     0.999771
9            1.614217     0.009241     0.999771
10           1.598665     0.011618     0.999578
11           1.575248     0.016515     0.999012 *
12           1.545374     0.022053     0.997968
13           1.511980     0.026816     0.996552
14           1.477968     0.030215     0.995010

Level 6:
Window   Dimension    Error        R-squared   
3            1.621392     0.000909     1.000000
4            1.626219     0.008750     0.999942
5            1.600873     0.009736     0.999889
6            1.606385     0.007124     0.999921
7            1.607491     0.005078     0.999950
8            1.599430     0.005999     0.999916
9            1.596679     0.004911     0.999934
10           1.608939     0.008090     0.999798
11           1.605229     0.006944     0.999832
12           1.593698     0.008815     0.999694 *
13           1.573060     0.014053     0.999123
14           1.547103     0.019220     0.998151

Level 7:
Window   Dimension    Error        R-squared   
3            1.621392     0.000909     1.000000
4            1.626219     0.008750     0.999942
5            1.600873     0.009736     0.999889
6            1.606385     0.007124     0.999921
7            1.607491     0.005078     0.999950
8            1.597284     0.005800     0.999921
9            1.598637     0.004560     0.999943
10           1.600074     0.003731     0.999957
11           1.594579     0.004398     0.999932
12           1.606527     0.005621     0.999878
13           1.601727     0.005500     0.999870
14           1.589486     0.008493     0.999658 *

Level 8:
Window   Dimension    Error        R-squared   
3            1.621392     0.000909     1.000000
4            1.589390     0.005713     0.999974 *
5            1.604299     0.009218     0.999901
6            1.606385     0.007124     0.999921
7            1.607491     0.005078     0.999950
8            1.592935     0.004676     0.999948
9            1.598637     0.004560     0.999943
10           1.597942     0.003660     0.999958
11           1.597050     0.003032     0.999968
12           1.598298     0.002624     0.999973
13           1.605572     0.004749     0.999904
14           1.603704     0.004207     0.999917
